product,cumulative_pct,abc_class
ANAR,5.112425483488817,A
APPLE ROYAL GALA,9.196431490972506,A
TOMATO LOCAL,12.406811431049872,A
BANGINAPALLI MANGO LOOSE KGS,15.046208189161565,A
POTATO,16.967764813154837,A
ONION,18.714346548812305,A
CARROT,20.331337221555238,A
TONED MILK 500ml HERITAGE,21.91106781493656,A
KIRAN MELON,23.42326392378022,A
RIDGE GOURD,24.874684356110293,A
BABY ORANGE,26.28389118233234,A
LADIES FINGER,27.499818159545413,A
USA FUJI APPLE,28.70401004055051,A
LEMON,29.818265299459057,A
BEAUTY PEARS,30.89595718376712,A
Black Chilly,31.89551240046954,A
BUSH BEANS,32.86452078357981,A
BOTTLE GOURD,33.81985308693185,A
PINK LADY APPLE,34.75207666367182,A
BLUE BERRY,35.657269103799024,A
Banana Yalakki,36.54296310421194,A
PAPPAYA,37.42178724598884,A
CUCUMBER,38.28283852491827,A
FULL CREAM MILK 500ml HERITAGE,39.11482813436144,A
GUAVA HYBRID BIG ANAND,39.93737064461937,A
RUBUSTA BANANA,40.741048845660885,A
PURE O FRESH EGGS 30 pack,41.513814376165264,A
CUSTARD APPLE ANAND,42.282269528360864,A
HIMAYATH MANGO KG LOOSE,43.0453387652572,A
CORIANDER,43.78811736202777,A
GARLIC,44.50467564917132,A
DONDAKAI,45.20918569313309,A
A2 BUFFALO MILK 500ml SIDS FARM,45.89476176527826,A
DASHERI MANGO KG LOOSE,46.57794780772851,A
BUTTON MUSHROOM,47.2422806854032,A
ENG ITEM BROCOLI SAMBERRY,47.896057926755766,A
WASHINGTON APPLE,48.5437718046966,A
PALAK GREEN,49.18721988209202,A
PANEER 200G HERITAGE,49.830625862642,A
COCONUT,50.47049877978711,A
GINGER,51.10863993746041,A
GREEN CHILLY,51.73224039578833,A
EUROPEN CUCUMBER,52.346727143044724,A
CURD 500g POUCH HERITAGE,52.9600307287282,A
FRESH LOOSE PANEER,53.572284886128884,A
KESARI MANGO KG LOOSE,54.149696520237946,A
CAPSICUM,54.69248001386795,A
MOUSAMBI,55.23308222932569,A
AVOCADO IMP SAMBERRY,55.75457050796806,A
SWEET POTATO,56.267333398263816,A
RAW BANANA(GREEN PLANTIN),56.77412712126974,A
CAULIFLOWER,57.27750182433612,A
DRAGON  FRUIT,57.77679006178147,A
CHINNA RASALU KG LOOSE,58.2628840294817,A
CALIFORINA RED GRAPES,58.74842884796795,A
PANEER 500G HERITAGE,59.23283776046083,A
Green Kiwi Small,59.69724984439379,A
BANANA CHOCOCHIP LOAF 350g KALSAN FOODS,60.15090340804977,A
ROSE LONG BRINJAL,60.59172873580388,A
GOLDEN KIWI SMALL,61.02156765324865,A
CHIKKUDUKAI,61.44395456269702,A
DRUMSTICK,61.86499267976616,A
CHEKKARAKELI BANANA,62.279613882929254,A
BEET ROOT,62.6908609195737,A
SWEET CORN,63.095405303574424,A
IMPORTED ORANGE,63.49298429390916,A
PURE O FRESH EGGS 6 PACK,63.88706747398756,A
ALPHONSO LOCAL KG LOOSE,64.2750946546487,A
CURD TUB 1KG HERITAGE,64.66157531770985,A
COLOUR CUCUMBER,65.03758308109275,A
WHITE ROUND BRINJAL,65.40433887145427,A
AMLA,65.76850072429514,A
NAGPUR ORANGE,66.10881280427733,A
FLY BERRY DERI DATES 255g,66.44186619096314,A
COW MILK 500ML POUCH SIDS FARM,66.77104013084599,A
KARPURAVALLI BANANA,67.08859140342054,A
EGGS 6PC JUST LAID VN POULTRY,67.40331356320686,A
CABBAGE,67.71225309710363,A
IMPORTED PLUMS,68.01307179903479,A
CHERUKU RASALU KG LOOSE,68.31379713181671,A
MENTI BIG,68.592641122906,A
AA KAKARAKAI,68.86551842762337,A
MUSK MELON - H,69.13105761029105,A
KALA JAMUN BOX PACK ANAND,69.39601176888395,A
WHITE SEEDLESS GRAPES,69.65983478642109,A
CAPSICUM YELLOW SAMBERRY,69.92260128733848,A
PINE APPLE,70.18518872898903,B
FREEDOM RF SUNFLOWER OIL 1LT POUCH,70.44012864268282,B
GULABI ROUND BRINJAL,70.6930492860829,B
CLUSTER BEANS,70.94488190914355,B
IDLY . DOSA BATTER 1KG ID FRESH,71.18767713889362,B
RAW MANGO,71.42827868588182,B
CHERRY LOCAL ANAND,71.66681697550766,B
ASH GOURD,71.90221434427959,B
CURRY LEAVES,72.13690461206286,B
COCONUT MANGO,72.36988536987639,B
GREEN PEAS,72.60188195148652,B
CAPSICUM RED SAMBERRY,72.83118209034801,B
NEELAM MANGO Kg LOOSE,73.05944997045395,B
LAB LAB,73.28588102618288,B
GREEN APPLE,73.51139678071561,B
TELANGANA CHEKKALU 250g  VELLANKI FOODS,73.72840227792766,B
FLYBERRY DREAMY DERI DATES 400G,73.94310796422205,B
MIXED SPROUTS ANAND,74.15339529320842,B
NATURAL CURD 450g SIDS FARM,74.36344634429705,B
CARRY BAG MEDIUM 5Kg HOLDING CAPACITY,74.57333200085725,B
GAVVALU SWEET 250G VELLANKI FOODS,74.7780864890716,B
CHEGODI 250g VELLANKI FOODS,74.97996232489851,B
Thotakura,75.17768282009722,B
LYCHEE LOCAL ANAND,75.3741559648941,B
SID FARMS MALAI PANEER 200g,75.56315071732936,B
PUMPKIN,75.7516568470721,B
FIGS AFGHANI NORMAL KG FLYBERRY,75.93978461714126,B
WALNUT PREMIUM KGS FLYBERRY,76.12782401927666,B
DATE BITES 160g FLYBERRY,76.312212927892,B
chukkakura,76.49444257155923,B
PALLI PEANUT CHIKKI 250g VELLANKI FOODS,76.67446663981039,B
BUFFALO GHEE 250g  VELLANKI FOODS,76.85078902099698,B
MURUKULU 250g VELLANKI FOODS,77.02609891201215,B
BLACK ROUND BRINJAL,77.1977331852908,B
