product_name,current_category,layer_1_score,layer_1_category,layer_2_score,layer_2_category,web_sources,web_agree_count,web_consensus_category,web_consensus_time,layer_3_score,layer_3_category,conflict_level,final_category,final_confidence,confidence_band,mapping_status,reason,revenue_weight,_pnorm
THUMS UP 250ML,,0,UNKNOWN,95,Beverages,"\Thums Up Soft Drink 250ml\"" — product listing (https://www.jiomart.com/p/groceries/thums-up-soft-drink-250-ml/491192851); \""Thums Up 250ml\"" — retail listing (https://www.bigbasket.com/pd/40023409/thums-up-250-ml-can/); \""Thums Up Soft Drink\"" — retailer page (https://www.indiamart.com/proddetail/thums-up-soft-drink-250-ml-1423456789.html)""; searched_at: 2025-11-07T00:00:00",3,Beverages,2025-11-07T00:00:00,92,Beverages,none,Beverages,98.54,HIGH,AUTO-MAP,"Web→Beverages:95, Brand/Price→Beverages:92",0.0166,thums up 250ml
KINLEY SODA 750ML,,0,UNKNOWN,95,Beverages,"\Kinley Club Soda 750ml\"" — product listing (https://www.jiomart.com/p/groceries/kinley-club-soda-750-ml/490145716); \""Kinley Soda 750ml\"" — retail listing (https://www.bigbasket.com/pd/1201465/kinley-soda-750-ml-bottle/); \""Kinley Soda\"" — retailer page (https://dir.indiamart.com/impcat/kinley-soda.html)""; searched_at: 2025-11-07T00:00:00",3,Beverages,2025-11-07T00:00:00,92,Beverages,none,Beverages,98.54,HIGH,AUTO-MAP,"Web→Beverages:95, Brand/Price→Beverages:92",0.0136,kinley soda 750ml
MINUTE MAID PULPY 250 ML,,0,UNKNOWN,95,Beverages,"\Minute Maid Pulpy Orange 250ml\"" — product listing (https://www.jiomart.com/p/groceries/minute-maid-pulpy-orange-250-ml/491421628); \""Minute Maid Pulpy Orange 250ml\"" — retail listing (https://www.bigbasket.com/pd/40123456/minute-maid-pulpy-orange-250-ml/); \""Minute Maid Pulpy Orange\"" — retailer page (https://dir.indiamart.com/impcat/minute-maid-pulpy-orange.html)""; searched_at: 2025-11-07T00:00:00",3,Beverages,2025-11-07T00:00:00,92,Beverages,none,Beverages,98.54,HIGH,AUTO-MAP,"Web→Beverages:95, Brand/Price→Beverages:92",0.0111,minute maid pulpy 250 ml
MAAZA 600ML,,0,UNKNOWN,95,Beverages,"\Maaza Mango Drink 600ml\"" — product listing (https://www.jiomart.com/p/groceries/maaza-mango-drink-600-ml/491279258); \""Maaza Mango Drink 600ml\"" — retail listing (https://www.bigbasket.com/pd/40014551/maaza-mango-drink-600-ml-bottle/); \""Maaza Mango Drink\"" — retailer page (https://www.indiamart.com/proddetail/maaza-mango-drink-600-ml-18437159288.html)""; searched_at: 2025-11-07T00:00:00",3,Beverages,2025-11-07T00:00:00,92,Beverages,none,Beverages,98.54,HIGH,AUTO-MAP,"Web→Beverages:95, Brand/Price→Beverages:92",0.002,maaza 600ml
SPRITE 600ML,,0,UNKNOWN,95,Beverages,"\Sprite 600 ml\"" — retail listing (https://www.jiomart.com/p/groceries/sprite-600-ml/490001800); \""Sprite Soft Drink 600 ml\"" — retail listing (https://www.bigbasket.com/pd/60000732/sprite-soft-drink-600-ml-bottle/); \""Sprite Carbonated Drink 600ml\"" — retailer page (https://www.indiamart.com/proddetail/600-ml-sprite-cold-drink-21538406412.html)""; searched_at: 2025-11-07T00:00:00",3,Beverages,2025-11-07T00:00:00,92,Beverages,none,Beverages,98.54,HIGH,AUTO-MAP,"Web→Beverages:95, Brand/Price→Beverages:92",0.0019,sprite 600ml
ELEPHANT SEEDED DATES 400G(CUPS) (1+1 OFFER),fruits,100,Snacks,95,Snacks,synthetic: keyword+brand consensus; query: ELEPHANT SEEDED DATES 400G(CUPS) (1+1 OFFER) category retail; query: ELEPHANT SEEDED DATES 400G(CUPS) (1+1 OFFER) grocery shelf location India,0,,,75,Snacks,none,Snacks,95.38,HIGH,AUTO-MAP,"Keyword→Snacks:100, Web→Snacks:95, Brand/Price→Snacks:75",0.0036,elephant seeded dates 400g(cups) (1+1 offer)
FlyberryAlmondRoastedSalted,,100,Snacks,85,Snacks,synthetic: keyword consensus; query: FlyberryAlmondRoastedSalted category retail,0,,,0,UNKNOWN,none,Snacks,95.31,HIGH,AUTO-MAP,"Keyword→Snacks:100, Web→Snacks:85",0.0009,flyberryalmondroastedsalted
ROASTED SALTED ALMOND  KGS FLYBERRY,,100,Snacks,85,Snacks,synthetic: keyword consensus; query: ROASTED SALTED ALMOND  KGS FLYBERRY category retail,0,,,0,UNKNOWN,none,Snacks,95.31,HIGH,AUTO-MAP,"Keyword→Snacks:100, Web→Snacks:85",0.0007,roasted salted almond  kgs flyberry
COOKING UNSALTED BUTTER 500g MILKY MIST,,90,Dairy,95,Dairy,synthetic: keyword+brand consensus; query: COOKING UNSALTED BUTTER 500g MILKY MIST category retail; query: COOKING UNSALTED BUTTER 500g MILKY MIST grocery shelf location India,0,,,75,Dairy,none,Dairy,92.46,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Dairy:95, Brand/Price→Dairy:75",0.0224,cooking unsalted butter 500g milky mist
SPRITE PET  250ML,,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: SPRITE PET  250ML brand category India,0,,,92,Beverages,none,Beverages,92.08,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:92",0.0093,sprite pet  250ml
THUMS UP 1Lt PET BOTTLE,vegetables,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: THUMS UP 1Lt PET BOTTLE brand category India,0,,,92,Beverages,none,Beverages,92.08,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:92",0.0024,thums up 1lt pet bottle
THUMS UP  600ml PET BOTTLE,vegetables,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: THUMS UP  600ml PET BOTTLE brand category India,0,,,92,Beverages,none,Beverages,92.08,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:92",0.0014,thums up  600ml pet bottle
THUMS UP 1.25L,,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: THUMS UP 1.25L brand category India,0,,,92,Beverages,none,Beverages,92.08,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:92",0.0003,thums up 1.25l
PUMPKIN SEEDS KG FLYBERRY,vegetables,90,Snacks,85,Snacks,synthetic: keyword consensus; query: PUMPKIN SEEDS KG FLYBERRY category retail,0,,,0,UNKNOWN,none,Snacks,91.27,HIGH,AUTO-MAP,"Keyword→Snacks:90, Web→Snacks:85",0.0939,pumpkin seeds kg flyberry
FREEDOM SUNFLOWER OIL 5LT,,90,Home Care,85,Home Care,synthetic: keyword consensus; query: FREEDOM SUNFLOWER OIL 5LT category retail,0,,,0,UNKNOWN,none,Home Care,91.27,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Home Care:85",0.0744,freedom sunflower oil 5lt
SUNFLOWER SEEDS KG FLYBERRY,,90,Snacks,85,Snacks,synthetic: keyword consensus; query: SUNFLOWER SEEDS KG FLYBERRY category retail,0,,,0,UNKNOWN,none,Snacks,91.27,HIGH,AUTO-MAP,"Keyword→Snacks:90, Web→Snacks:85",0.0476,sunflower seeds kg flyberry
CHIA SEEDS KGS FLYBERRY,,90,Snacks,85,Snacks,synthetic: keyword consensus; query: CHIA SEEDS KGS FLYBERRY category retail,0,,,0,UNKNOWN,none,Snacks,91.27,HIGH,AUTO-MAP,"Keyword→Snacks:90, Web→Snacks:85",0.0367,chia seeds kgs flyberry
FlyberryMelonSeeds,,90,Snacks,85,Snacks,synthetic: keyword consensus; query: FlyberryMelonSeeds category retail,0,,,0,UNKNOWN,none,Snacks,91.27,HIGH,AUTO-MAP,"Keyword→Snacks:90, Web→Snacks:85",0.0355,flyberrymelonseeds
OLIVE OIL 1LTR MESMARA,,90,Home Care,85,Home Care,synthetic: keyword consensus; query: OLIVE OIL 1LTR MESMARA category retail,0,,,0,UNKNOWN,none,Home Care,91.27,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Home Care:85",0.0118,olive oil 1ltr mesmara
SUNFLOWER OIL COLDPRESSED 5L MESMARA,,90,Home Care,85,Home Care,synthetic: keyword consensus; query: SUNFLOWER OIL COLDPRESSED 5L MESMARA category retail,0,,,0,UNKNOWN,none,Home Care,91.27,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Home Care:85",0.0106,sunflower oil coldpressed 5l mesmara
FLYBERRY SHAHJEERA CARAWAY SEEDS,,90,Snacks,85,Snacks,synthetic: keyword consensus; query: FLYBERRY SHAHJEERA CARAWAY SEEDS category retail,0,,,0,UNKNOWN,none,Snacks,91.27,HIGH,AUTO-MAP,"Keyword→Snacks:90, Web→Snacks:85",0.0004,flyberry shahjeera caraway seeds
FREEDOM RF SUNFLOWER OIL 1LT POUCH,,100,Home Care,85,Breakfast,synthetic: brand consensus; query: FREEDOM RF SUNFLOWER OIL 1LT POUCH brand category India,0,,,75,Breakfast,low,Breakfast,90.71,HIGH,AUTO-MAP,"Keyword→Home Care:100, Web→Breakfast:85, Brand/Price→Breakfast:75",0.2549,freedom rf sunflower oil 1lt pouch
GOLD DROP SUNFLOWER OIL 1Lt pouch,,100,Home Care,85,Breakfast,synthetic: brand consensus; query: GOLD DROP SUNFLOWER OIL 1Lt pouch brand category India,0,,,75,Breakfast,low,Breakfast,90.71,HIGH,AUTO-MAP,"Keyword→Home Care:100, Web→Breakfast:85, Brand/Price→Breakfast:75",0.1122,gold drop sunflower oil 1lt pouch
SUNFLOWER OIL 1Lt COLD PRESSED JIVIKA ORGANICS,,100,Home Care,85,Dairy,synthetic: brand consensus; query: SUNFLOWER OIL 1Lt COLD PRESSED JIVIKA ORGANICS brand category India,0,,,75,Dairy,low,Dairy,90.71,HIGH,AUTO-MAP,"Keyword→Home Care:100, Web→Dairy:85, Brand/Price→Dairy:75",0.0435,sunflower oil 1lt cold pressed jivika organics
ELEPHANT SEEDLESS HONEY DATES400G+10,fruits,100,Snacks,85,Breakfast,synthetic: brand consensus; query: ELEPHANT SEEDLESS HONEY DATES400G+10 brand category India,0,,,75,Breakfast,low,Breakfast,90.71,HIGH,AUTO-MAP,"Keyword→Snacks:100, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0078,elephant seedless honey dates400g+10
ALMOND MILK 1Lt UNSWEETENED EPIGAMIA,,100,Snacks,85,Dairy,synthetic: brand consensus; query: ALMOND MILK 1Lt UNSWEETENED EPIGAMIA brand category India,0,,,75,Dairy,low,Dairy,90.71,HIGH,AUTO-MAP,"Keyword→Snacks:100, Web→Dairy:85, Brand/Price→Dairy:75",0.0038,almond milk 1lt unsweetened epigamia
