product_name,final_category,final_confidence,mapping_status,layer_1_category,layer_1_score,layer_2_category,layer_2_score,layer_3_category,layer_3_score,reason,web_sources
JAGGERY POWDER 500g JIVIKA ORGANICS,Beverages,73.21,AMBIGUOUS,Organic,40,Beverages,85,Beverages,75,"Keyword→Organic:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: JAGGERY POWDER 500g JIVIKA ORGANICS brand category India
CARRY BAG 8Kg HOLDING CAPACITY,Beverages,73.21,AMBIGUOUS,Home Care,40,Beverages,85,Beverages,75,"Keyword→Home Care:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: CARRY BAG 8Kg HOLDING CAPACITY brand category India
SPECIALE COFFEE 200g JAR CONTINENTAL,Personal Care,73.21,AMBIGUOUS,Home Care,40,Personal Care,85,Personal Care,75,"Keyword→Home Care:40, Web→Personal Care:85, Brand/Price→Personal Care:75",synthetic: brand consensus; query: SPECIALE COFFEE 200g JAR CONTINENTAL brand category India
SAMBAR PODI 100g VELLANKI FOODS,Beverages,73.21,AMBIGUOUS,Confectionery,40,Beverages,85,Beverages,75,"Keyword→Confectionery:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: SAMBAR PODI 100g VELLANKI FOODS brand category India
CHEESE SLICES 200g HERITAGE,Breakfast,73.21,AMBIGUOUS,Dairy,40,Breakfast,85,Breakfast,75,"Keyword→Dairy:40, Web→Breakfast:85, Brand/Price→Breakfast:75",synthetic: brand consensus; query: CHEESE SLICES 200g HERITAGE brand category India
NATURAL THICK CURD  POUCH 400 GMS ID FRESH,Beverages,73.21,AMBIGUOUS,Home Care,40,Beverages,85,Beverages,75,"Keyword→Home Care:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: NATURAL THICK CURD  POUCH 400 GMS ID FRESH brand category India
SPECIAL LONG LIFE COW MILK 180ML HERITAGE,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: SPECIAL LONG LIFE COW MILK 180ML HERITAGE brand category India
COW MILK 500ml GOLDEN HERITAGE,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: COW MILK 500ml GOLDEN HERITAGE brand category India
CALIFORNIAN ALMOND REGULAR KG  FLYBERRY,Snacks,71.08,AMBIGUOUS,Snacks,40,Snacks,85,UNKNOWN,0,"Keyword→Snacks:40, Web→Snacks:85",synthetic: keyword consensus; query: CALIFORNIAN ALMOND REGULAR KG  FLYBERRY category retail
BRINTAN TOFU PANEER 200G,Beverages,67.38,AMBIGUOUS,Dairy,20,Beverages,85,Beverages,75,"Keyword→Dairy:20, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: BRINTAN TOFU PANEER 200G brand category India
SAMBAR ONION CHENNAI,Beverages,73.21,AMBIGUOUS,Confectionery,40,Beverages,85,Beverages,75,"Keyword→Confectionery:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: SAMBAR ONION CHENNAI brand category India
CURD CUP 400GHERITAGE,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: CURD CUP 400GHERITAGE brand category India
APPLE MILKSHAKES,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: APPLE MILKSHAKES brand category India
ALMONDO 200g CHOCOLATE AMUL,Breakfast,73.21,AMBIGUOUS,Snacks,40,Breakfast,85,Breakfast,75,"Keyword→Snacks:40, Web→Breakfast:85, Brand/Price→Breakfast:75",synthetic: brand consensus; query: ALMONDO 200g CHOCOLATE AMUL brand category India
NATURAL CURD 450g SIDS FARM,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: NATURAL CURD 450g SIDS FARM brand category India
CABBAGE,Beverages,73.21,AMBIGUOUS,Home Care,40,Beverages,85,Beverages,75,"Keyword→Home Care:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: CABBAGE brand category India
GOLDEN COW GHEE 500 ML HERITAGE,Dairy,73.21,AMBIGUOUS,Home Care,40,Dairy,85,Dairy,75,"Keyword→Home Care:40, Web→Dairy:85, Brand/Price→Dairy:75",synthetic: brand consensus; query: GOLDEN COW GHEE 500 ML HERITAGE brand category India
