product,total_revenue,total_quantity,revenue_per_unit
A2 BUFFALO MILK 500ml SIDS FARM,174094.0,2913.0,59.76450394782012
AA KAKARAKAI,69293.99,334.16,207.36769810869046
AASHIRVAAD ATTA 1KG,12058.0,167.0,72.20359281437126
AASHIRVAAD CRYSTAL SALT 1KG,1474.0,67.0,22.0
AASHIRVAAD SALT 1KG,2160.0,73.0,29.589041095890412
AASHIRVAD ATTA 2KG,4290.0,39.0,110.0
AASHIRVAD CHILLI PWD 100G,200.0,4.0,50.0
AASHIRVAD CHILLI PWD 200G,1500.0,15.0,100.0
AASHIRVAD CHILLI PWD 500G,1250.0,5.0,250.0
AASHIRVAD CORIANDER PWD 100G,2205.7,48.0,45.95208333333333
AASHIRVAD CORIANDER PWD 200G,460.0,5.0,92.0
AASHIRVAD MULITGRAIN ATTA 1KG,6391.0,77.0,83.0
AASHIRVAD SELECT ATTA 1KG,5976.0,72.0,83.0
AASHIRVAD TURMERIC PWD 100G,1400.0,35.0,40.0
ABC CANE JUICE,20000.0,200.0,100.0
AFGHANI RAISINS KGS FLYBERRY,6628.14,9.61,689.712799167534
AGMARK GHEE 500 ML HERITAGE,16110.0,43.0,374.6511627906977
AJWA DATES KGS FLYBERRY LOOSE KGS,915.55,0.45,2034.5555555555554
AJWAIN 100g,4270.0,61.0,70.0
AK COUNTRY EGGS 6PC PACK AKSHAYA KALPA,3000.0,21.0,142.85714285714286
AK ORGANIC HIGH PROTEIN PANEER 200g,11520.0,68.0,169.41176470588235
AKSHAYA KALPA ORGANIC COW GHEE 195ml,4498.0,14.0,321.2857142857143
AKSHAYA MULTI FLORAL RAW HOENY 250g,8880.0,46.0,193.04347826086956
AKSHAYAKALPA TABLE BUTTER SALTED 100g TUB ORGANIC,125.0,1.0,125.0
AKSHAYAKALPA UNSALTED TABLE BUTTER 100g TUB ORGANIC,960.0,8.0,120.0
AKSHYAKALPA ORGANIC TONED MILK UHT 1Lt. TETRA,250.0,2.0,125.0
ALMOND DRAGES KG LOOSE FLYBERRY,4235.78,2.02,2096.920792079208
ALMOND MILK 1Lt UNSWEETENED EPIGAMIA,975.0,3.0,325.0
ALMOND REGULAR  250 GM,900.0,5.0,180.0
ALMONDO 200g CHOCOLATE AMUL,2070.0,9.0,230.0
ALMONDO BAR 35g CHOCOLATE AMUL,2660.0,76.0,35.0
ALPHONSO LOCAL KG LOOSE,98534.95,463.04,212.80008206634415
ALPHONSO MANGO PC RATNAGIRI,14541.0,105.0,138.4857142857143
AMERI DATES KG FLYBERRY,745.92,0.52,1434.4615384615383
AMLA,92474.63,667.47,138.54499827707613
AMLA CANDY KG FLYBERRY,1111.32,1.79,620.8491620111731
AMLA PICKLE  250g AHA,900.0,10.0,90.0
AMLA PICKLE  500g AHA,700.0,4.0,175.0
AMLA PICKLE 250GMS VELLANKI FOODS,1740.0,14.0,124.28571428571429
AMRUTHA - A2 ORGANIC CURD. 500g AKSHAYAKALPA,13300.0,190.0,70.0
AMUL BUTTER 500G SALTED,3050.0,10.0,305.0
AMUL CHEESE SPREAD PLAIN 200g,554.0,5.0,110.8
AMUL DARK CHOCOLATE 125G,3037.9,18.0,168.77222222222224
AMUL FRUIT N NUT CHOCOLATE ILU 150g,2800.0,14.0,200.0
AMUL INDIA TWILIGHT TRYST 125g,200.0,1.0,200.0
AMUL PROCESSED CHEESE BLOCK200g,1160.9,9.0,128.9888888888889
ANAR,1298240.47,4289.82,302.6328540591447
ANJEER BOX PACK ANAND,144.0,2.0,72.0
ANJUR JUICE,180.0,3.0,60.0
APPLE BARE,413.30999999999995,3.5900000000000003,115.12813370473535
APPLE JUICE,1980.0,11.0,180.0
APPLE MILKSHAKES,440.0,8.0,55.0
APPLE ROYAL GALA,1037085.41,2695.28,384.77835697960876
