product,cv_percent,xyz_class
A2 BUFFALO MILK 500ml SIDS FARM,34.02160980668578,X
AA KAKARAKAI,44.54542906095282,X
AASHIRVAAD ATTA 1KG,65.16969609131722,Y
AASHIRVAAD CRYSTAL SALT 1KG,41.48547462378073,X
AASHIRVAAD SALT 1KG,53.70491995592508,Y
AASHIRVAD ATTA 2KG,56.84438201265648,Y
AASHIRVAD CHILLI PWD 100G,0.0,X
AASHIRVAD CHILLI PWD 200G,72.00822998230957,Y
AASHIRVAD CHILLI PWD 500G,0.0,X
AASHIRVAD CORIANDER PWD 100G,37.73077140890591,X
AASHIRVAD CORIANDER PWD 200G,40.0,X
AASHIRVAD MULITGRAIN ATTA 1KG,46.594970183657395,X
AASHIRVAD SELECT ATTA 1KG,50.20509337467399,Y
AASHIRVAD TURMERIC PWD 100G,59.00850540875558,Y
ABC CANE JUICE,65.2096215051284,Y
AFGHANI RAISINS KGS FLYBERRY,55.051595208961736,Y
AGMARK GHEE 500 ML HERITAGE,32.15419403404052,X
AJWA DATES KGS FLYBERRY LOOSE KGS,52.06833117271103,Y
AJWAIN 100g,50.58807273296586,Y
AK COUNTRY EGGS 6PC PACK AKSHAYA KALPA,28.527302786684807,X
AK ORGANIC HIGH PROTEIN PANEER 200g,78.16145343305845,Y
AKSHAYA KALPA ORGANIC COW GHEE 195ml,25.753937681885642,X
AKSHAYA MULTI FLORAL RAW HOENY 250g,24.095856821454444,X
AKSHAYAKALPA TABLE BUTTER SALTED 100g TUB ORGANIC,,Y
AKSHAYAKALPA UNSALTED TABLE BUTTER 100g TUB ORGANIC,0.0,X
AKSHYAKALPA ORGANIC TONED MILK UHT 1Lt. TETRA,0.0,X
ALMOND DRAGES KG LOOSE FLYBERRY,40.91005634077805,X
ALMOND MILK 1Lt UNSWEETENED EPIGAMIA,0.0,X
ALMOND REGULAR  250 GM,40.0,X
ALMONDO 200g CHOCOLATE AMUL,0.0,X
ALMONDO BAR 35g CHOCOLATE AMUL,68.45959970654188,Y
ALPHONSO LOCAL KG LOOSE,51.434649951380976,Y
ALPHONSO MANGO PC RATNAGIRI,121.26419001209506,Z
AMERI DATES KG FLYBERRY,31.774445465112127,X
AMLA,39.05483479645627,X
AMLA CANDY KG FLYBERRY,41.31359516741586,X
AMLA PICKLE  250g AHA,30.0,X
AMLA PICKLE  500g AHA,0.0,X
AMLA PICKLE 250GMS VELLANKI FOODS,36.700664510471796,X
AMRUTHA - A2 ORGANIC CURD. 500g AKSHAYAKALPA,55.97229048139683,Y
AMUL BUTTER 500G SALTED,0.0,X
AMUL CHEESE SPREAD PLAIN 200g,0.0,X
AMUL DARK CHOCOLATE 125G,44.94665749754947,X
AMUL FRUIT N NUT CHOCOLATE ILU 150g,33.364240464065276,X
AMUL INDIA TWILIGHT TRYST 125g,,Y
AMUL PROCESSED CHEESE BLOCK200g,0.0,X
ANAR,35.420852895103636,X
ANJEER BOX PACK ANAND,0.0,X
ANJUR JUICE,,Y
APPLE BARE,45.92525550550834,X
APPLE JUICE,54.110822483115996,Y
APPLE MILKSHAKES,33.071891388307385,X
APPLE ROYAL GALA,44.49379594357758,X
APRICOTS ORANGE TURKISH KG FLYBERRY,51.12705724424562,Y
ARTISANAL CURD 400g EPIGAMIA,0.0,X
ARTISANAL ORGANIC SET CURD 400g AKSHAYAKALPA,32.74958674508874,X
ASH GOURD,65.26188116469181,Y
ASH GOURD JUICE,,Y
ASL  IDLY & DOSA BATTER  1KG,,Y
ASPARAGUS KG SAMBERRY,71.735470555157,Y
AVOCADO IMP SAMBERRY,56.45465280809433,Y
AVOCADO JUICE,0.0,X
AVOCADO LOCAL,73.17137847450626,Y
Akshayakalpa Organic Ghee 490ml,26.646935501059648,X
Alubukhar LOOSE KG FLYBERRY,72.3213520403315,Y
Apple Milk Shake,63.887656499993994,Y
BABY CORN PEELED,56.40712662105412,Y
BABY CORN PEELED SAMBERRY,55.90946204325722,Y
BABY ORANGE,40.03338850048223,X
BABY POTATO,67.47669932767442,Y
BACHALAKURA,53.182021004152126,Y
BADAM FLAVOURED MILK 180ML  PP BOTTLE HERITAGE,69.43845282617619,Y
BAILLEY  WATER 1LTR,66.33033875799416,Y
BAILLEY WATER  500ML,237.69868067598026,Z
BAJRA FLOUR 500G,49.07174048559632,X
BAMBINO ROASTED VERMICELI 500G,0.0,X
BAMBINO ROASTED VERMICELLI 800G,37.26779962499649,X
BAMBINO VERMICELLI 500GM,37.26779962499649,X
BANANA CASHEWNUT LOAF 350g KALSAN FOODS,46.556059397963075,X
BANANA CHOCOCHIP LOAF 350g KALSAN FOODS,50.590503275448576,Y
BANANA FLOWER,43.38235838196392,X
BANANA LEAF,106.00707523557094,Z
