product,avg_daily_units,std_daily_units,cv_percent
A2 BUFFALO MILK 500ml SIDS FARM,15.918032786885245,5.415571003654408,34.02160980668578
AA KAKARAKAI,3.4449484536082475,1.534567069588453,44.54542906095282
AASHIRVAAD ATTA 1KG,2.0120481927710845,1.3112456924397562,65.16969609131722
AASHIRVAAD CRYSTAL SALT 1KG,1.2641509433962264,0.5244390188289262,41.48547462378073
AASHIRVAAD SALT 1KG,1.3773584905660377,0.7397092748646285,53.70491995592508
AASHIRVAD ATTA 2KG,1.625,0.9237212077056678,56.84438201265648
AASHIRVAD CHILLI PWD 100G,1.0,0.0,0.0
AASHIRVAD CHILLI PWD 200G,1.5,1.0801234497346435,72.00822998230957
AASHIRVAD CHILLI PWD 500G,1.0,0.0,0.0
AASHIRVAD CORIANDER PWD 100G,1.170731707317073,0.4417261042993862,37.73077140890591
AASHIRVAD CORIANDER PWD 200G,1.25,0.5,40.0
AASHIRVAD MULITGRAIN ATTA 1KG,1.5098039215686274,0.7034926870865921,46.594970183657395
AASHIRVAD SELECT ATTA 1KG,1.3584905660377358,0.6820314571653825,50.20509337467399
AASHIRVAD TURMERIC PWD 100G,1.5217391304347827,0.897955517089759,59.00850540875558
ABC CANE JUICE,2.0833333333333335,1.3585337813568417,65.2096215051284
AFGHANI RAISINS KGS FLYBERRY,0.18480769230769228,0.10173958268425427,55.051595208961736
AGMARK GHEE 500 ML HERITAGE,1.162162162162162,0.37368387661182223,32.15419403404052
AJWA DATES KGS FLYBERRY LOOSE KGS,0.15,0.07810249675906653,52.06833117271103
AJWAIN 100g,1.297872340425532,0.6565686035555144,50.58807273296586
AK COUNTRY EGGS 6PC PACK AKSHAYA KALPA,1.105263157894737,0.3153017676423058,28.527302786684807
AK ORGANIC HIGH PROTEIN PANEER 200g,1.6585365853658536,1.2963363008409694,78.16145343305845
AKSHAYA KALPA ORGANIC COW GHEE 195ml,1.0769230769230769,0.2773500981126146,25.753937681885642
AKSHAYA MULTI FLORAL RAW HOENY 250g,1.069767441860465,0.25776963111323353,24.095856821454444
AKSHAYAKALPA TABLE BUTTER SALTED 100g TUB ORGANIC,1.0,,
AKSHAYAKALPA UNSALTED TABLE BUTTER 100g TUB ORGANIC,1.0,0.0,0.0
