product,cost_proxy,avg_unit_price,total_revenue,total_quantity,margin_estimate_percent,gap_to_20_percent
A2 BUFFALO MILK 500ml SIDS FARM,60.0,59.912950819672126,174094.0,2913.0,-0.14529276080872272,20.145292760808722
AA KAKARAKAI,146.52800000000002,203.38463917525775,69293.99,334.16,27.955227791939596,0.0
AASHIRVAAD ATTA 1KG,73.0,72.46428571428571,12058.0,167.0,-0.7392804337111962,20.739280433711198
AASHIRVAAD CRYSTAL SALT 1KG,22.0,22.0,1474.0,67.0,0.0,20.0
AASHIRVAAD SALT 1KG,30.0,30.0,2160.0,73.0,0.0,20.0
AASHIRVAD ATTA 2KG,110.0,110.0,4290.0,39.0,0.0,20.0
AASHIRVAD CHILLI PWD 100G,50.0,50.0,200.0,4.0,0.0,20.0
AASHIRVAD CHILLI PWD 200G,100.0,100.0,1500.0,15.0,0.0,20.0
AASHIRVAD CHILLI PWD 500G,250.0,250.0,1250.0,5.0,0.0,20.0
AASHIRVAD CORIANDER PWD 100G,46.0,45.981219512195125,2205.7,48.0,-0.04084382276962929,20.04084382276963
AASHIRVAD CORIANDER PWD 200G,92.0,92.0,460.0,5.0,0.0,20.0
AASHIRVAD MULITGRAIN ATTA 1KG,83.0,83.0,6391.0,77.0,0.0,20.0
AASHIRVAD SELECT ATTA 1KG,83.0,83.0,5976.0,72.0,0.0,20.0
AASHIRVAD TURMERIC PWD 100G,40.0,40.0,1400.0,35.0,0.0,20.0
ABC CANE JUICE,100.0,100.0,20000.0,200.0,0.0,20.0
AFGHANI RAISINS KGS FLYBERRY,690.0,689.9996153846155,6628.14,9.61,-5.57413911462035e-05,20.000055741391147
AGMARK GHEE 500 ML HERITAGE,375.0,374.5945945945946,16110.0,43.0,-0.1082251082251115,20.10822510822511
AJWA DATES KGS FLYBERRY LOOSE KGS,1999.0,1999.0,915.55,0.45,0.0,20.0
AJWAIN 100g,70.0,70.0,4270.0,61.0,0.0,20.0
AK COUNTRY EGGS 6PC PACK AKSHAYA KALPA,150.0,142.10526315789474,3000.0,21.0,-5.555555555555554,25.555555555555554
AK ORGANIC HIGH PROTEIN PANEER 200g,160.0,169.7560975609756,11520.0,68.0,5.747126436781606,14.252873563218394
AKSHAYA KALPA ORGANIC COW GHEE 195ml,319.0,321.46153846153845,4498.0,14.0,0.7657334290500093,19.23426657094999
AKSHAYA MULTI FLORAL RAW HOENY 250g,184.0,193.02325581395348,8880.0,46.0,4.674698795180721,15.32530120481928
AKSHAYAKALPA TABLE BUTTER SALTED 100g TUB ORGANIC,125.0,125.0,125.0,1.0,0.0,20.0
AKSHAYAKALPA UNSALTED TABLE BUTTER 100g TUB ORGANIC,120.0,120.0,960.0,8.0,0.0,20.0
AKSHYAKALPA ORGANIC TONED MILK UHT 1Lt. TETRA,125.0,125.0,250.0,2.0,0.0,20.0
ALMOND DRAGES KG LOOSE FLYBERRY,2099.0,2099.0,4235.78,2.02,0.0,20.0
ALMOND MILK 1Lt UNSWEETENED EPIGAMIA,325.0,325.0,975.0,3.0,0.0,20.0
ALMOND REGULAR  250 GM,300.0,300.0,900.0,5.0,0.0,20.0
ALMONDO 200g CHOCOLATE AMUL,230.0,230.0,2070.0,9.0,0.0,20.0
ALMONDO BAR 35g CHOCOLATE AMUL,35.0,35.0,2660.0,76.0,0.0,20.0
ALPHONSO LOCAL KG LOOSE,149.0,214.6941758241758,98534.95,463.04,30.59895573412116,0.0
ALPHONSO MANGO PC RATNAGIRI,134.0,142.625,14541.0,105.0,6.047326906222612,13.952673093777388
AMERI DATES KG FLYBERRY,1440.0,1440.0,745.92,0.52,0.0,20.0
AMLA,117.528,138.86642857142857,92474.63,667.47,15.366153497965668,4.6338465020343325
AMLA CANDY KG FLYBERRY,630.0,630.0,1111.32,1.79,0.0,20.0
AMLA PICKLE  250g AHA,90.0,90.0,900.0,10.0,0.0,20.0
AMLA PICKLE  500g AHA,175.0,175.0,700.0,4.0,0.0,20.0
AMLA PICKLE 250GMS VELLANKI FOODS,120.0,124.54545454545455,1740.0,14.0,3.6496350364963517,16.350364963503647
AMRUTHA - A2 ORGANIC CURD. 500g AKSHAYAKALPA,70.0,70.0,13300.0,190.0,0.0,20.0
AMUL BUTTER 500G SALTED,305.0,305.0,3050.0,10.0,0.0,20.0
AMUL CHEESE SPREAD PLAIN 200g,110.0,110.8,554.0,5.0,0.7220216606498169,19.277978339350184
AMUL DARK CHOCOLATE 125G,170.0,168.15833333333333,3037.9,18.0,-1.0951979780960415,21.095197978096042
AMUL FRUIT N NUT CHOCOLATE ILU 150g,200.0,200.0,2800.0,14.0,0.0,20.0
AMUL INDIA TWILIGHT TRYST 125g,200.0,200.0,200.0,1.0,0.0,20.0
AMUL PROCESSED CHEESE BLOCK200g,130.0,128.9888888888889,1160.9,9.0,-0.783874580067174,20.783874580067174
ANAR,259.0,300.0179781420765,1298240.47,4289.82,13.671840066414967,6.328159933585033
ANJEER BOX PACK ANAND,72.0,72.0,144.0,2.0,0.0,20.0
ANJUR JUICE,60.0,60.0,180.0,3.0,0.0,20.0
APPLE BARE,77.4,96.75,413.30999999999995,3.5900000000000003,19.999999999999993,7.105427357601002e-15
APPLE JUICE,180.0,180.0,1980.0,11.0,0.0,20.0
APPLE MILKSHAKES,60.0,54.285714285714285,440.0,8.0,-10.526315789473687,30.526315789473685
APPLE ROYAL GALA,369.0,387.7026923076923,1037085.41,2695.28,4.82397792916261,15.17602207083739
APRICOTS ORANGE TURKISH KG FLYBERRY,1600.0,1598.7179487179487,8816.85,5.54,-0.08019246190857987,20.08019246190858
ARTISANAL CURD 400g EPIGAMIA,100.0,100.0,300.0,3.0,0.0,20.0
ARTISANAL ORGANIC SET CURD 400g AKSHAYAKALPA,80.0,80.0,3760.0,47.0,0.0,20.0
ASH GOURD,37.0,39.6838418079096,59776.4,1520.11,6.763059435880199,13.236940564119802
ASH GOURD JUICE,40.0,40.0,80.0,2.0,0.0,20.0
ASL  IDLY & DOSA BATTER  1KG,95.0,95.0,95.0,1.0,0.0,20.0
ASPARAGUS KG SAMBERRY,124.60000000000001,311.5,249.2,1.3800000000000001,60.0,0.0
AVOCADO IMP SAMBERRY,296.0,397.0155801104973,132425.83,334.06,25.443731977063134,0.0
AVOCADO JUICE,100.0,100.0,200.0,2.0,0.0,20.0
AVOCADO LOCAL,209.0,231.9487142857143,13517.87,59.01,9.893874323203221,10.106125676796779
