product,mean_price,price_std,price_volatility_percent
A2 BUFFALO MILK 500ml SIDS FARM,59.912950819672126,1.1775794846306342,1.965484037290952
AA KAKARAKAI,203.38463917525775,67.02744549905555,32.95600187450617
AASHIRVAAD ATTA 1KG,72.46428571428571,1.1558799763788044,1.5951029738100801
AASHIRVAAD CRYSTAL SALT 1KG,22.0,0.0,0.0
AASHIRVAAD SALT 1KG,30.0,0.0,0.0
AASHIRVAD ATTA 2KG,110.0,0.0,0.0
AASHIRVAD CHILLI PWD 100G,50.0,0.0,0.0
AASHIRVAD CHILLI PWD 200G,100.0,0.0,0.0
AASHIRVAD CHILLI PWD 500G,250.0,0.0,0.0
AASHIRVAD CORIANDER PWD 100G,45.981219512195125,0.12025379665422713,0.26152807152566593
AASHIRVAD CORIANDER PWD 200G,92.0,0.0,0.0
AASHIRVAD MULITGRAIN ATTA 1KG,83.0,0.0,0.0
AASHIRVAD SELECT ATTA 1KG,83.0,0.0,0.0
AASHIRVAD TURMERIC PWD 100G,40.0,0.0,0.0
ABC CANE JUICE,100.0,0.0,0.0
AFGHANI RAISINS KGS FLYBERRY,689.9996153846155,0.002773500981125694,0.0004019568879874963
AGMARK GHEE 500 ML HERITAGE,374.5945945945946,2.4659848095803594,0.658307633149158
AJWA DATES KGS FLYBERRY LOOSE KGS,1999.0,0.0,0.0
AJWAIN 100g,70.0,0.0,0.0
AK COUNTRY EGGS 6PC PACK AKSHAYA KALPA,142.10526315789474,34.412360080584264,24.21610524189263
AK ORGANIC HIGH PROTEIN PANEER 200g,169.7560975609756,8.799944567452908,5.183875391746684
AKSHAYA KALPA ORGANIC COW GHEE 195ml,321.46153846153845,13.023154921237937,4.051232686673682
AKSHAYA MULTI FLORAL RAW HOENY 250g,193.02325581395348,8.028189537032938,4.159182531233932
AKSHAYAKALPA TABLE BUTTER SALTED 100g TUB ORGANIC,125.0,,
AKSHAYAKALPA UNSALTED TABLE BUTTER 100g TUB ORGANIC,120.0,0.0,0.0
AKSHYAKALPA ORGANIC TONED MILK UHT 1Lt. TETRA,125.0,0.0,0.0
ALMOND DRAGES KG LOOSE FLYBERRY,2099.0,0.0,0.0
ALMOND MILK 1Lt UNSWEETENED EPIGAMIA,325.0,0.0,0.0
ALMOND REGULAR  250 GM,300.0,0.0,0.0
ALMONDO 200g CHOCOLATE AMUL,230.0,0.0,0.0
ALMONDO BAR 35g CHOCOLATE AMUL,35.0,0.0,0.0
ALPHONSO LOCAL KG LOOSE,214.6941758241758,71.82225054591264,33.453283150415594
ALPHONSO MANGO PC RATNAGIRI,142.625,11.6382988447625,8.160069303952673
AMERI DATES KG FLYBERRY,1440.0,0.0,0.0
AMLA,138.86642857142857,26.1571951563073,18.836226599471342
AMLA CANDY KG FLYBERRY,630.0,0.0,0.0
