metric,product,value
cv,A2 BUFFALO MILK 500ml SIDS FARM,34.02160980668578
cv,AA KAKARAKAI,44.54542906095282
cv,AASHIRVAAD ATTA 1KG,65.16969609131722
cv,AASHIRVAAD CRYSTAL SALT 1KG,41.48547462378073
cv,AASHIRVAAD SALT 1KG,53.70491995592508
margin,A2 BUFFALO MILK 500ml SIDS FARM,-0.1452927608087227
margin,AA KAKARAKAI,27.9552277919396
margin,AASHIRVAAD ATTA 1KG,-0.7392804337111962
margin,AASHIRVAAD CRYSTAL SALT 1KG,0.0
margin,AASHIRVAAD SALT 1KG,0.0
max_gap,A2 BUFFALO MILK 500ml SIDS FARM,1
max_gap,AA KAKARAKAI,54
max_gap,AASHIRVAAD ATTA 1KG,14
max_gap,AASHIRVAAD CRYSTAL SALT 1KG,12
max_gap,AASHIRVAAD SALT 1KG,17
price_vol,A2 BUFFALO MILK 500ml SIDS FARM,1.965484037290952
price_vol,AA KAKARAKAI,32.95600187450617
price_vol,AASHIRVAAD ATTA 1KG,1.59510297381008
price_vol,AASHIRVAAD CRYSTAL SALT 1KG,0.0
price_vol,AASHIRVAAD SALT 1KG,0.0
abc,ANAR,A
abc,APPLE ROYAL GALA,A
abc,TOMATO LOCAL,A
abc,BANGINAPALLI MANGO LOOSE KGS,A
abc,POTATO,A
xyz,A2 BUFFALO MILK 500ml SIDS FARM,34.02160980668578
xyz,AA KAKARAKAI,44.54542906095282
xyz,AASHIRVAAD ATTA 1KG,65.16969609131722
xyz,AASHIRVAAD CRYSTAL SALT 1KG,41.48547462378073
xyz,AASHIRVAAD SALT 1KG,53.70491995592508
rev_per_sku,A2 BUFFALO MILK 500ml SIDS FARM,59.76450394782012
rev_per_sku,AA KAKARAKAI,207.3676981086905
rev_per_sku,AASHIRVAAD ATTA 1KG,72.20359281437126
rev_per_sku,AASHIRVAAD CRYSTAL SALT 1KG,22.0
rev_per_sku,AASHIRVAAD SALT 1KG,29.58904109589041
