product,unit_price,estimated_margin,total_revenue,quantity_sold,revenue_weight
A2 BUFFALO MILK 500ml SIDS FARM,59.912950819672126,0.3,174094.0,2913.0,0.00685576072145172
AA KAKARAKAI,203.38463917525775,0.30000000000000004,69293.99,334.16,0.0027287730471737587
AASHIRVAAD ATTA 1KG,72.46428571428571,0.3000000000000001,12058.0,167.0,0.00047483981515310605
AASHIRVAAD CRYSTAL SALT 1KG,22.0,0.30000000000000004,1474.0,67.0,5.8045603544176344e-05
AASHIRVAAD SALT 1KG,30.0,0.3,2160.0,73.0,8.506004318549586e-05
AASHIRVAD ATTA 2KG,110.0,0.3,4290.0,39.0,0.0001689386968823043
AASHIRVAD CHILLI PWD 100G,50.0,0.3,200.0,4.0,7.87592992458295e-06
AASHIRVAD CHILLI PWD 200G,100.0,0.3,1500.0,15.0,5.9069474434372126e-05
AASHIRVAD CHILLI PWD 500G,250.0,0.3,1250.0,5.0,4.9224562028643435e-05
AASHIRVAD CORIANDER PWD 100G,45.981219512195125,0.3000000000000001,2205.7,48.0,8.685969317326305e-05
AASHIRVAD CORIANDER PWD 200G,92.0,0.3000000000000001,460.0,5.0,1.8114638826540786e-05
AASHIRVAD MULITGRAIN ATTA 1KG,83.0,0.30000000000000004,6391.0,77.0,0.0002516753407400482
AASHIRVAD SELECT ATTA 1KG,83.0,0.30000000000000004,5976.0,72.0,0.00023533278614653854
AASHIRVAD TURMERIC PWD 100G,40.0,0.3,1400.0,35.0,5.513150947208065e-05
ABC CANE JUICE,100.0,0.3,20000.0,200.0,0.000787592992458295
AFGHANI RAISINS KGS FLYBERRY,689.9996153846155,0.3000000000000001,6628.14,9.61,0.0002610138308516262
AGMARK GHEE 500 ML HERITAGE,374.5945945945946,0.3,16110.0,43.0,0.0006344061554251566
AJWA DATES KGS FLYBERRY LOOSE KGS,1999.0,0.30000000000000004,915.55,0.45,3.60540382122596e-05
AJWAIN 100g,70.0,0.3,4270.0,61.0,0.00016815110388984598
AK COUNTRY EGGS 6PC PACK AKSHAYA KALPA,142.10526315789474,0.3,3000.0,21.0,0.00011813894886874425
AK ORGANIC HIGH PROTEIN PANEER 200g,169.7560975609756,0.30000000000000004,11520.0,68.0,0.00045365356365597795
AKSHAYA KALPA ORGANIC COW GHEE 195ml,321.46153846153845,0.30000000000000004,4498.0,14.0,0.00017712966400387054
AKSHAYA MULTI FLORAL RAW HOENY 250g,193.02325581395348,0.3,8880.0,46.0,0.000349691288651483
AKSHAYAKALPA TABLE BUTTER SALTED 100g TUB ORGANIC,125.0,0.3,125.0,1.0,4.922456202864344e-06
AKSHAYAKALPA UNSALTED TABLE BUTTER 100g TUB ORGANIC,120.0,0.3,960.0,8.0,3.780446363799816e-05
AKSHYAKALPA ORGANIC TONED MILK UHT 1Lt. TETRA,125.0,0.3,250.0,2.0,9.844912405728688e-06
ALMOND DRAGES KG LOOSE FLYBERRY,2099.0,0.30000000000000004,4235.78,2.02,0.00016680353227974983
ALMOND MILK 1Lt UNSWEETENED EPIGAMIA,325.0,0.3000000000000001,975.0,3.0,3.839515838234188e-05
ALMOND REGULAR  250 GM,300.0,0.3,900.0,3.0,3.5441684660623275e-05
ALMONDO 200g CHOCOLATE AMUL,230.0,0.3,2070.0,9.0,8.151587471943353e-05
ALMONDO BAR 35g CHOCOLATE AMUL,35.0,0.3,2660.0,76.0,0.00010474986799695324
ALPHONSO LOCAL KG LOOSE,214.6941758241758,0.30000000000000004,98534.95,463.04,0.0038802718066114237
ALPHONSO MANGO PC RATNAGIRI,142.625,0.30000000000000004,14541.0,105.0,0.0005726194851668033
AMERI DATES KG FLYBERRY,1440.0,0.3000000000000001,745.92,0.52,2.937406824672457e-05
AMLA,138.86642857142857,0.30000000000000004,92474.63,667.47,0.003641618528408681
AMLA CANDY KG FLYBERRY,630.0,0.3,1111.32,1.79,4.376339221893762e-05
AMLA PICKLE  250g AHA,90.0,0.3000000000000001,900.0,10.0,3.5441684660623275e-05
AMLA PICKLE  500g AHA,175.0,0.3000000000000001,700.0,4.0,2.7565754736040325e-05
AMLA PICKLE 250GMS VELLANKI FOODS,124.54545454545455,0.3,1740.0,14.0,6.852059034387166e-05
AMRUTHA - A2 ORGANIC CURD. 500g AKSHAYAKALPA,70.0,0.29999999999999993,13300.0,190.0,0.0005237493399847661
AMUL BUTTER 500G SALTED,305.0,0.3,3050.0,10.0,0.00012010793134988999
AMUL CHEESE SPREAD PLAIN 200g,110.8,0.3,554.0,5.0,2.1816325891094773e-05
AMUL DARK CHOCOLATE 125G,168.15833333333333,0.3000000000000001,3037.9,18.0,0.00011963143758945272
AMUL FRUIT N NUT CHOCOLATE ILU 150g,200.0,0.3,2800.0,14.0,0.0001102630189441613
AMUL INDIA TWILIGHT TRYST 125g,200.0,0.3,200.0,1.0,7.87592992458295e-06
AMUL PROCESSED CHEESE BLOCK200g,128.9888888888889,0.30000000000000004,1160.9,9.0,4.571583524724174e-05
ANAR,300.0179781420765,0.30000000000000004,1298240.47,4289.82,0.051124254834888166
ANJEER BOX PACK ANAND,72.0,0.30000000000000004,144.0,2.0,5.670669545699724e-06
ANJUR JUICE,60.0,0.3,180.0,3.0,7.088336932124655e-06
APPLE BARE,96.75,0.30000000000000004,413.30999999999995,3.5900000000000003,1.6276002985646894e-05
APPLE JUICE,180.0,0.3000000000000001,1980.0,11.0,7.79717062533712e-05
APPLE MILKSHAKES,54.285714285714285,0.3,440.0,8.0,1.732704583408249e-05
APPLE ROYAL GALA,387.7026923076923,0.30000000000000004,1037085.41,2680.05,0.04084006007483689
APRICOTS ORANGE TURKISH KG FLYBERRY,1598.7179487179487,0.3,8816.85,5.54,0.00034720446377779594
ARTISANAL CURD 400g EPIGAMIA,100.0,0.3,300.0,3.0,1.1813894886874425e-05
ARTISANAL ORGANIC SET CURD 400g AKSHAYAKALPA,80.0,0.3,3760.0,47.0,0.00014806748258215947
ASH GOURD,39.6838418079096,0.30000000000000004,59776.4,1520.11,0.0023539736877192016
ASH GOURD JUICE,40.0,0.3,80.0,2.0,3.15037196983318e-06
ASL  IDLY & DOSA BATTER  1KG,95.0,0.3,95.0,1.0,3.7410667141769014e-06
ASPARAGUS KG SAMBERRY,311.5,0.30000000000000004,249.2,1.3800000000000001,9.813408686030355e-06
