product,total_qty,avg_daily_qty,qty_std,max_daily_qty,total_revenue,first_sale,last_sale,sale_days,volatility,days_span,avg_days_between_sales
ANJEER BOX PACK ANAND,2.0,1.0,0.0,1.0,144.0,2025-04-03,2025-06-24,2,0.0,82,41.0
APPLE BARE,3.59,0.9,0.41,1.36,413.31,2025-04-23,2025-08-23,4,0.4555555555555555,122,30.5
ARTISANAL CURD 400g EPIGAMIA,3.0,1.0,0.0,1.0,300.0,2025-05-28,2025-09-24,3,0.0,119,39.666666666666664
AVOCADO JUICE,2.0,1.0,0.0,1.0,200.0,2025-04-07,2025-07-07,2,0.0,91,45.5
BABY CORN PEELED SAMBERRY,2.67,0.89,0.5,1.33,506.92,2025-05-20,2025-09-22,3,0.5617977528089888,125,41.666666666666664
BITTER GUARD PICKLE 250G VELLANKI FOODS,2.0,1.0,0.0,1.0,230.0,2025-04-11,2025-09-02,2,0.0,144,72.0
CARRY BAG SML 1Kg HOLDING CAPACITY,4.0,1.0,0.0,1.0,12.0,2025-05-11,2025-09-28,4,0.0,140,35.0
CHEESE SPREAD NATURAL OR PLAIN 200g MILKYMIST,3.0,1.0,0.0,1.0,355.0,2025-04-19,2025-09-06,3,0.0,140,46.666666666666664
CHEESE SPREAD PEPPER 200g MILKY MIST,2.0,1.0,0.0,1.0,240.0,2025-04-30,2025-08-14,2,0.0,106,53.0
CHIKKUDUKAYA PICKLE 250g AHA,3.0,1.0,0.0,1.0,270.0,2025-04-08,2025-09-09,3,0.0,154,51.333333333333336
COW GHEE 500ml PET JAR MILKYMIST,4.0,1.0,0.0,1.0,1692.0,2025-04-03,2025-09-24,4,0.0,174,43.5
CUMIN JEERA KG FLYBERRY,0.56,0.19,0.12,0.26,528.2,2025-04-18,2025-07-29,3,0.631578947368421,102,34.0
DATES POWDER 180g FLYBERRY,4.0,1.0,0.0,1.0,1596.0,2025-04-07,2025-09-03,4,0.0,149,37.25
DRAGAN FRUIT JUICE,3.0,1.5,0.71,2.0,300.0,2025-04-13,2025-07-14,2,0.47333333333333333,92,46.0
FLAX SEED OIL 1L MESMARA,4.0,1.0,0.0,1.0,2396.0,2025-04-23,2025-09-19,4,0.0,149,37.25
GONGURA PICKLE 500g  AHA,3.0,1.0,0.0,1.0,525.0,2025-05-02,2025-09-20,3,0.0,141,47.0
JUBJUB GUAVA JUICE,2.0,1.0,0.0,1.0,140.0,2025-07-13,2025-09-21,2,0.0,70,35.0
KOBBARI KARAM 250g AHA,2.0,1.0,0.0,1.0,240.0,2025-04-05,2025-06-13,2,0.0,69,34.5
NALLA KARAM 250g AHA,4.0,1.0,0.0,1.0,480.0,2025-04-03,2025-08-19,4,0.0,138,34.5
PANDU MIRAPAKAI PICKLE 500g AHA,3.0,1.0,0.0,1.0,525.0,2025-05-08,2025-08-28,3,0.0,112,37.333333333333336
PUTNALU KOBBARIKARAM 250g AHA,3.0,1.0,0.0,1.0,360.0,2025-04-02,2025-09-07,3,0.0,158,52.666666666666664
THIS CREAMY CARAMEL 18G CONTINENTAL,15.0,7.5,3.54,10.0,150.0,2025-04-19,2025-07-26,2,0.47200000000000003,98,49.0
YELLOW BANTHI POOLU KGS LOOSE,8.24,2.75,2.19,4.17,1449.43,2025-05-26,2025-08-27,3,0.7963636363636364,93,31.0
