product,total_revenue,abc_class
ANAR,1298240.47,A
APPLE ROYAL GALA,1037085.41,A
TOMATO LOCAL,815238.32,A
BANGINAPALLI MANGO LOOSE KGS,670243.84,A
POTATO,487956.76,A
ONION,443523.94,A
CARROT,410615.81,A
TONED MILK 500ml HERITAGE,401154.05,A
KIRAN MELON,384004.46,A
RIDGE GOURD,368571.19,A
BABY ORANGE,357851.54,A
LADIES FINGER,308770.39,A
USA FUJI APPLE,305790.4,A
LEMON,282952.05,A
BEAUTY PEARS,273667.21,A
Black Chilly,253825.32,A
BUSH BEANS,246068.31,A
BOTTLE GOURD,242595.43,A
PINK LADY APPLE,236727.24,A
BLUE BERRY,229863.0,A
Banana Yalakki,224911.6,A
PAPPAYA,223167.08,A
CUCUMBER,218653.87,A
FULL CREAM MILK 500ml HERITAGE,211274.0,A
GUAVA HYBRID BIG ANAND,208875.02,A
RUBUSTA BANANA,204084.65,A
PURE O FRESH EGGS 30 pack,196234.74,A
CUSTARD APPLE ANAND,195140.17,A
HIMAYATH MANGO KG LOOSE,193772.48,A
CORIANDER,188619.91,A
GARLIC,181961.57,A
DONDAKAI,178902.06,A
A2 BUFFALO MILK 500ml SIDS FARM,174094.0,A
DASHERI MANGO KG LOOSE,173487.08,A
BUTTON MUSHROOM,168699.54,A
ENG ITEM BROCOLI SAMBERRY,166019.06,A
WASHINGTON APPLE,164479.34,A
PALAK GREEN,163396.09,A
PANEER 200G HERITAGE,163385.4,A
COCONUT,162488.22,B
GINGER,162048.46,B
GREEN CHILLY,158356.02,B
EUROPEN CUCUMBER,156041.7,B
CURD 500g POUCH HERITAGE,155741.25,B
FRESH LOOSE PANEER,155474.76,B
KESARI MANGO KG LOOSE,146626.91,B
CAPSICUM,137833.5,B
MOUSAMBI,137279.59,B
AVOCADO IMP SAMBERRY,132425.83,B
SWEET POTATO,130210.12,B
RAW BANANA(GREEN PLANTIN),128694.31999999999,B
CAULIFLOWER,127826.1,B
DRAGON  FRUIT,126788.39,B
CHINNA RASALU KG LOOSE,123437.86,B
CALIFORINA RED GRAPES,123298.41,B
PANEER 500G HERITAGE,123009.96,B
Green Kiwi Small,117932.0,B
BANANA CHOCOCHIP LOAF 350g KALSAN FOODS,115200.0,B
ROSE LONG BRINJAL,111942.42,B
GOLDEN KIWI SMALL,109152.55,B
CHIKKUDUKAI,107260.2,B
DRUMSTICK,106917.69,B
CHEKKARAKELI BANANA,105288.19,B
BEET ROOT,104431.36,B
SWEET CORN,102729.3,B
IMPORTED ORANGE,100960.52,B
PURE O FRESH EGGS 6 PACK,100072.8,B
ALPHONSO LOCAL KG LOOSE,98534.95,B
CURD TUB 1KG HERITAGE,98142.23,B
COLOUR CUCUMBER,95482.76,B
WHITE ROUND BRINJAL,93133.33,B
AMLA,92474.63,B
NAGPUR ORANGE,86418.26,B
FLY BERRY DERI DATES 255g,84575.0,B
COW MILK 500ML POUCH SIDS FARM,83589.86,B
KARPURAVALLI BANANA,80638.42,B
EGGS 6PC JUST LAID VN POULTRY,79920.0,B
CABBAGE,78451.57,B
IMPORTED PLUMS,76389.38,B
CHERUKU RASALU KG LOOSE,76365.67,B
MENTI BIG,70809.16,B
AA KAKARAKAI,69293.99,B
MUSK MELON - H,67430.56,B
KALA JAMUN BOX PACK ANAND,67282.0,B
WHITE SEEDLESS GRAPES,66994.76,B
CAPSICUM YELLOW SAMBERRY,66726.47,B
PINE APPLE,66681.0,B
FREEDOM RF SUNFLOWER OIL 1LT POUCH,64739.0,B
GULABI ROUND BRINJAL,64226.23,B
CLUSTER BEANS,63949.94,B
IDLY . DOSA BATTER 1KG ID FRESH,61655.0,B
RAW MANGO,61097.94,B
CHERRY LOCAL ANAND,60574.0,B
ASH GOURD,59776.4,B
CURRY LEAVES,59596.840000000004,B
COCONUT MANGO,59162.729999999996,B
GREEN PEAS,58912.81,B
CAPSICUM RED SAMBERRY,58228.08,B
NEELAM MANGO Kg LOOSE,57965.95,B
LAB LAB,57499.51,B
GREEN APPLE,57267.08,B
TELANGANA CHEKKALU 250g  VELLANKI FOODS,55106.0,B
FLYBERRY DREAMY DERI DATES 400G,54521.99,B
MIXED SPROUTS ANAND,53400.0,B
NATURAL CURD 450g SIDS FARM,53340.0,B
CARRY BAG MEDIUM 5Kg HOLDING CAPACITY,53298.0,B
GAVVALU SWEET 250G VELLANKI FOODS,51995.0,B
CHEGODI 250g VELLANKI FOODS,51264.0,B
Thotakura,50208.8,B
LYCHEE LOCAL ANAND,49892.05,B
SID FARMS MALAI PANEER 200g,47993.0,B
PUMPKIN,47868.92,B
FIGS AFGHANI NORMAL KG FLYBERRY,47772.840000000004,B
WALNUT PREMIUM KGS FLYBERRY,47750.4,B
DATE BITES 160g FLYBERRY,46823.4,B
chukkakura,46275.08,B
PALLI PEANUT CHIKKI 250g VELLANKI FOODS,45715.0,B
BUFFALO GHEE 250g  VELLANKI FOODS,44775.0,B
MURUKULU 250g VELLANKI FOODS,44517.89,B
BLACK ROUND BRINJAL,43584.51,B
PRM HMT RAW RICE 26KG BAG GAJANAN,43428.0,B
PREMIUM MILK BREAD 400g SPENCERS AKSHAYA  FOODS,43120.0,B
VAMPOOSA 250g VELLANKI FOODS,42759.0,B
JANTHIKALU 250g VELLANKI FOODS,42697.41,B
GONGURA(PUNTIKURA),42112.0,B
BITTER GOURD,42064.89,B
DR GOOD EGGS CAROTENOID 12 PACK,42003.6,B
DOSA BATTER MIX 900g DSL,41680.0,B
BROWN ANJEER BOX TURKEY,41151.0,B
MALLIKA MANGO Kg LOOSE,40468.19,B
GROUND NUT,40331.22,B
CARRY BAG 8Kg HOLDING CAPACITY,40185.6,B
CALIFORNIAN ALMOND PREMIUM KG FLYBERRY,39896.82,B
PANEER 200G ID FRESH,39895.0,B
BOONDI LADDU 250g VELLANKI FOODS,39465.0,B
pink Dragon Fruit,39459.03,B
MEDJOUL DATES LARGE FLYBERRY loose kgs,39455.28,B
NATU DONDAKAI,39005.01,C
DR GOOD EGGS CAROTENOID 30 PACK,38904.0,C
CURD POUCH 400g MILKY MIST,38764.0,C
