product,sales_velocity,turnover_proxy,total_quantity,total_revenue
A2 BUFFALO MILK 500ml SIDS FARM,15.918032786885245,5810.081967213115,2913.0,174094.0
AA KAKARAKAI,2.1558709677419357,786.8929032258065,334.16,69293.99
AASHIRVAAD ATTA 1KG,0.912568306010929,333.08743169398906,167.0,12058.0
AASHIRVAAD CRYSTAL SALT 1KG,0.4110429447852761,150.03067484662577,67.0,1474.0
AASHIRVAAD SALT 1KG,0.44785276073619634,163.46625766871168,73.0,2160.0
AASHIRVAD ATTA 2KG,0.46987951807228917,171.50602409638554,39.0,4290.0
AASHIRVAD CHILLI PWD 100G,0.11764705882352941,42.94117647058823,4.0,200.0
AASHIRVAD CHILLI PWD 200G,0.09615384615384616,35.09615384615385,15.0,1500.0
AASHIRVAD CHILLI PWD 500G,0.045454545454545456,16.59090909090909,5.0,1250.0
AASHIRVAD CORIANDER PWD 100G,0.2962962962962963,108.14814814814814,48.0,2205.7
AASHIRVAD CORIANDER PWD 200G,0.1724137931034483,62.931034482758626,5.0,460.0
AASHIRVAD MULITGRAIN ATTA 1KG,0.506578947368421,184.90131578947367,77.0,6391.0
AASHIRVAD SELECT ATTA 1KG,0.4472049689440994,163.22981366459626,72.0,5976.0
AASHIRVAD TURMERIC PWD 100G,0.24822695035460993,90.60283687943263,35.0,1400.0
ABC CANE JUICE,1.092896174863388,398.90710382513663,200.0,20000.0
AFGHANI RAISINS KGS FLYBERRY,0.05251366120218579,19.167486338797815,9.61,6628.14
AGMARK GHEE 500 ML HERITAGE,0.27388535031847133,99.96815286624204,43.0,16110.0
AJWA DATES KGS FLYBERRY LOOSE KGS,0.008035714285714287,2.9330357142857144,0.45,915.55
AJWAIN 100g,0.35260115606936415,128.69942196531792,61.0,4270.0
AK COUNTRY EGGS 6PC PACK AKSHAYA KALPA,0.20202020202020202,73.73737373737373,20.0,3000.0
AK ORGANIC HIGH PROTEIN PANEER 200g,0.7906976744186046,288.6046511627907,68.0,11520.0
AKSHAYA KALPA ORGANIC COW GHEE 195ml,0.0915032679738562,33.39869281045751,14.0,4498.0
AKSHAYA MULTI FLORAL RAW HOENY 250g,0.2541436464088398,92.76243093922652,46.0,8880.0
AKSHAYAKALPA TABLE BUTTER SALTED 100g TUB ORGANIC,1.0,365.0,1.0,125.0
AKSHAYAKALPA UNSALTED TABLE BUTTER 100g TUB ORGANIC,0.047337278106508875,17.27810650887574,8.0,960.0
AKSHYAKALPA ORGANIC TONED MILK UHT 1Lt. TETRA,0.2,73.0,2.0,250.0
