product_name,current_category,layer_1_score
THUMS UP 250ML,,0
KINLEY SODA 750ML,,0
MINUTE MAID PULPY 250 ML,,0
MAAZA 600ML,,0
SPRITE 600ML,,0
ELEPHANT SEEDED DATES 400G(CUPS) (1+1 OFFER),fruits,100
FlyberryAlmondRoastedSalted,,100
ROASTED SALTED ALMOND  KGS FLYBERRY,,100
COOKING UNSALTED BUTTER 500g MILKY MIST,,90
SPRITE PET  250ML,,0
THUMS UP 1Lt PET BOTTLE,vegetables,0
THUMS UP  600ml PET BOTTLE,vegetables,0
THUMS UP 1.25L,,0
PUMPKIN SEEDS KG FLYBERRY,vegetables,90
FREEDOM SUNFLOWER OIL 5LT,,90
SUNFLOWER SEEDS KG FLYBERRY,,90
CHIA SEEDS KGS FLYBERRY,,90
FlyberryMelonSeeds,,90
OLIVE OIL 1LTR MESMARA,,90
SUNFLOWER OIL COLDPRESSED 5L MESMARA,,90
FLYBERRY SHAHJEERA CARAWAY SEEDS,,90
FREEDOM RF SUNFLOWER OIL 1LT POUCH,,100
GOLD DROP SUNFLOWER OIL 1Lt pouch,,100
SUNFLOWER OIL 1Lt COLD PRESSED JIVIKA ORGANICS,,100
ELEPHANT SEEDLESS HONEY DATES400G+10,fruits,100
ALMOND MILK 1Lt UNSWEETENED EPIGAMIA,,100
CURD POUCH 400g MILKY MIST,,90
SET CURD 1kg BUCKET MILKY MIST,,90
CURD 135g POUCH MILKY MIST,,90
VELLANKI MULTI SEEDS CHIKI 250g,,90
JACK FRUIT SEEDS ANAND,fruits,90
FREEDOM SUNFLOWER OIL PET 1LT,,90
FREEDOM SUNFLOWER OIL PET 2LT,,90
CHEESE SLICE 100G MILKY MIST,,90
CHEESE SLICES 200g MILKYMIST,,90
SPICE BUTTER MILK 200ml UHT AKSHAYA KALPA,,90
SUNFLOWER OIL 1LT COLD PRESSED MESMARA,,90
PLAIN BUTTER MILK 200ML UHT AKSHAYA KALPA,,90
COOKING BUTTER 100G MILKY MIST,,90
COW GHEE 200ml JAR AMUL HIGH AROMA,,90
MUSTARD OIL 1Lt. MESMARA,,90
TABLE BUTTER CHIPLITE MILKY MIST,,90
MOZZARELLA CHEESE 200g MILKY MIST,,90
SET CURD 400g MILKY MIST,,90
BUTTER MILK PLAIN 200ml POUCH AKSHAYA KALPA,,90
BUTTER MILK SPICED 200ml POUCH AKSHAYA KALPA,,90
COOKING BUTTER UNSALTED 200g MILKY MIST,,90
UHT BUTTER MILK 180ML MILKY MIST,,90
SABJA SEEDS KG FLYBERRY,,90
VIRGIN COCONUT OIL 200ml AKSHAYA KALPA,fruits,90
FLAX SEEDS KGS FLYBERRY,,90
ALMONDO BAR 35g CHOCOLATE AMUL,,90
MASTI BUTTER MILK 200ml AMUL tetra,,90
COLD PRESSED SUN DRIED COCONUT OIL 1LT MESMARA,fruits,90
SET CURD 200g MILKY MIST,,90
TABLE BUTTER SALTED 200G MILKY MIST,,90
TABLE BUTTER SALTED 100g MILKY MIST,,90
COW GHEE 500ml PET JAR MILKYMIST,,90
GHEE 200ML PET JAR MILKY MIST,,90
CHEESE BLOCK 200G MILKY MIST,,90
CHEESE CUBES 120g MILKY MIST,,90
POMEGRANATE SEEDS,fruits,90
CHEDDAR CHEESE 200g MILKY MIST,,90
CHEESE CUBES 200g MILKY MIST,,90
MASTI BUTTER MILK 1Lt AMUL,,90
CHEESE SPREAD GARLI 200g MILKY MIST,,90
CHEESE SPREAD NATURAL OR PLAIN 200g MILKYMIST,,90
CHEESE SPREAD PEPPER 200g MILKY MIST,vegetables,90
BUTTER MILK 170ML HERITAGE SACHET,,90
FREEDOM MUSTARD OIL 1 Lt,,90
POPU SEEDS LOOSE,,90
COCONUT MILK YOGURT-BLUEBERRY EPIGAMIA,fruits,90
QUINOA SEEDS KGS FLYBERRY,,90
WATERMELON JUICE,juices,70
PANEER 500g MILKY MIST,,70
ANAR,fruits,0
APPLE ROYAL GALA,fruits,0
TOMATO LOCAL,vegetables,0
BANGINAPALLI MANGO LOOSE KGS,fruits,0
POTATO,vegetables,0
ONION,vegetables,0
CARROT,vegetables,0
KIRAN MELON,,0
RIDGE GOURD,vegetables,0
BABY ORANGE,fruits,0
LADIES FINGER,,0
USA FUJI APPLE,fruits,0
LEMON,fruits,0
BEAUTY PEARS,,0
Black Chilly,,0
BUSH BEANS,vegetables,0
BOTTLE GOURD,vegetables,0
PINK LADY APPLE,fruits,0
BLUE BERRY,fruits,0
Banana Yalakki,fruits,0
PAPPAYA,,0
CUCUMBER,vegetables,0
GUAVA HYBRID BIG ANAND,fruits,0
RUBUSTA BANANA,fruits,0
CUSTARD APPLE ANAND,fruits,0
HIMAYATH MANGO KG LOOSE,fruits,0
CORIANDER,vegetables,0
GARLIC,vegetables,0
DONDAKAI,,0
DASHERI MANGO KG LOOSE,fruits,0
BUTTON MUSHROOM,,0
ENG ITEM BROCOLI SAMBERRY,,0
WASHINGTON APPLE,fruits,0
PALAK GREEN,vegetables,0
COCONUT,fruits,0
GINGER,vegetables,0
GREEN CHILLY,vegetables,0
EUROPEN CUCUMBER,vegetables,0
KESARI MANGO KG LOOSE,fruits,0
CAPSICUM,vegetables,0
MOUSAMBI,,0
AVOCADO IMP SAMBERRY,fruits,0
RAW BANANA(GREEN PLANTIN),fruits,0
CAULIFLOWER,vegetables,0
DRAGON  FRUIT,fruits,0
CHINNA RASALU KG LOOSE,,0
CALIFORINA RED GRAPES,fruits,0
Green Kiwi Small,fruits,0
BANANA CHOCOCHIP LOAF 350g KALSAN FOODS,fruits,0
ROSE LONG BRINJAL,vegetables,0
GOLDEN KIWI SMALL,fruits,0
CHIKKUDUKAI,,0
CHEKKARAKELI BANANA,fruits,0
BEET ROOT,vegetables,0
IMPORTED ORANGE,fruits,0
ALPHONSO LOCAL KG LOOSE,,0
COLOUR CUCUMBER,vegetables,0
WHITE ROUND BRINJAL,vegetables,0
AMLA,,0
NAGPUR ORANGE,fruits,0
KARPURAVALLI BANANA,fruits,0
IMPORTED PLUMS,,0
CHERUKU RASALU KG LOOSE,,0
MENTI BIG,,0
AA KAKARAKAI,,0
MUSK MELON - H,,0
KALA JAMUN BOX PACK ANAND,,0
CAPSICUM YELLOW SAMBERRY,vegetables,0
PINE APPLE,fruits,0
GULABI ROUND BRINJAL,vegetables,0
CLUSTER BEANS,vegetables,0
IDLY . DOSA BATTER 1KG ID FRESH,,0
RAW MANGO,fruits,0
CHERRY LOCAL ANAND,,0
ASH GOURD,vegetables,0
CURRY LEAVES,vegetables,0
COCONUT MANGO,fruits,0
GREEN PEAS,vegetables,0
CAPSICUM RED SAMBERRY,vegetables,0
NEELAM MANGO Kg LOOSE,fruits,0
LAB LAB,,0
GREEN APPLE,fruits,0
TELANGANA CHEKKALU 250g  VELLANKI FOODS,,0
MIXED SPROUTS ANAND,,0
CHEGODI 250g VELLANKI FOODS,,0
Thotakura,,0
LYCHEE LOCAL ANAND,fruits,0
PUMPKIN,vegetables,0
chukkakura,,0
MURUKULU 250g VELLANKI FOODS,,0
BLACK ROUND BRINJAL,vegetables,0
VAMPOOSA 250g VELLANKI FOODS,,0
JANTHIKALU 250g VELLANKI FOODS,,0
GONGURA(PUNTIKURA),,0
BITTER GOURD,vegetables,0
DOSA BATTER MIX 900g DSL,,0
BROWN ANJEER BOX TURKEY,,0
MALLIKA MANGO Kg LOOSE,fruits,0
GROUND NUT,,0
BOONDI LADDU 250g VELLANKI FOODS,,0
pink Dragon Fruit,fruits,0
NATU DONDAKAI,,0
CHAMA DUMPA,,0
ULAVACHARU 250g HASSTA,,0
ELEPHANT YAM,vegetables,0
MIXTURE 250g VELLANKI FOODS,,0
PUDHINA,,0
THOTAPURI MANGO,fruits,0
RIBBON PAKODI 250g VELLANKI FOODS,,0
BOONDI 250g VELLANKI FOODS,,0
WHITE RADISH,vegetables,0
SNAKE GOURD,vegetables,0
G ELAICHI 50g,,0
DOODH PEDA 200g HERITAGE,,0
Pomogranate Pack of 4,,0
SIMLA APPLE,fruits,0
TOMATO (APPLE) hybrid,fruits,0
CORN FLAKES MIXTURE250g VELLANKI FOODS,,0
CHINTA CHIGURU,,0
WHOLE MEAL BROWN BREAD 400g SPENCERS AKSHAYA FOODS,,0
BACHALAKURA,,0
Royalaga Pack of 4,,0
GARLIC PEELED BOX,vegetables,0
Small Bitter Gourd,vegetables,0
PARVAL,,0
BOONDI MITAI ATCHU 250g VELLANKI FOODS,,0
BABY POTATO,vegetables,0
CHICOOS(Sapota),fruits,0
BLACK GRAPES,fruits,0
DOUBLE HORSE URAD ROUND 1KG,,0
LONG CHILLIES,,0
TOOR DAL PRM UNPOLISHED FATKA 1KG,,0
NUVVULA CHIKKI 250g VELLANKI FOODS,,0
Red Banana,fruits,0
TOOR  DAL FATKA POLISHED 1kg,,0
FREEDOM RICE BRAN 1LTR,,0
BABY CORN PEELED,,0
VENNA VUNDALU 250GMS VELLANKI FOODS,,0
MANGO JELLY ROLLS 250g VELLANKI FOODS,fruits,0
NAVARATAN MIXTURE 250g VELLANKI FOODS,,0
DILKUSH GRAPES KG LOOSE,fruits,0
SMALL CAPSICUM,vegetables,0
IDLY BATTER 900g DSL,,0
WHOLE WHEAT BREAD 400g  SPENCERS AKSHAYA FOODS,,0
DALMOTI 250g VELLANKI FOODS,,0
JEERA 200g,,0
LANGADA MANGO KG LOOSE,fruits,0
SANNAPOOSA 250g VELLANKI FOODS,,0
MASALA PALLI 250GMS VELLANKI FOODS,,0
BIG BRINJAL BLUE,vegetables,0
NETHI BHERAKAI,,0
KAJJIKAYALU 250g VELLANKI FOODS,,0
LOBIA,,0
LEAF ONION,vegetables,0
URAD ROUND UN POLISHED 1kg,,0
BASMATHI RICE 1KG,,0
BOORELU 250g VELLANKI FOODS,,0
VELLANKI JOWARI FLAKES 250G,,0
SINGLE POLISH RICE 5Kg,,0
ICE BERG ENGLISH ITEM SAMBERRY,,0
WHEAT CHAPATI 390G 10PC ID FRESH,,0
ENG ITEM GREEN LETTUCE SAMBERRY,vegetables,0
ALPHONSO MANGO PC RATNAGIRI,fruits,0
BELLAM SUNNIVUNDALU 250g VELLANKI FOODS,,0
BANDARU HALWA 250g VELLANKI FOODS,,0
TAPESWARAM KAJA 250g VELLANKI FOODS,,0
VELLANKI JONNA MURKULU 250G,,0
LAL MICHI WITHOUT STEM 200G EVR,,0
KABULI CHANA 500g,,0
VELLANKI MILLET MIXTURE 250g,,0
AVOCADO LOCAL,fruits,0
WHEAT PAROTA 5PC 400G ID FRESH,,0
MULBERY BOX PACK ANAND,,0
CHOUSA MANGO KG LOOSE,fruits,0
NUVVUNDALU 250g VELLANKI FOODS,,0
AASHIRVAAD ATTA 1KG,,0
VELLANKI VAM MURKULU 250g,,0
VELLANKI HEALTHY LADDU 250G,,0
SUGAR 1 KG,,0
chinna menthi,,0
MYSORE PAK 250g HARD VELLANKI FOODS,,0
VELLANKI MILLET MURKULU 250g,,0
MOONG GREEN 500g,vegetables,0
BESAN 500g,,0
TAMARIND 500g,,0
MOONG DAL1kg,,0
KURNOOL MURMURA 500g,,0
BELLAM KOMMULU 250g VELLANKI FOODS,,0
IDLY RAVA1KG,,0
JAGGERY KESAR 900G,,0
MILLET MOONG MIX 250g VELLANKI,,0
MODERN 100% WHOLE WHEAT BREAD 400G,,0
NANDA OSMANIA COOKIES 300g,,0
KOVA KAJJIKAYALU 250g VELLANKI FOODS,,0
SHAH JEERA 50g,,0
JAVATRI 50g,,0
WHEAT RAWA MEDIUM 500g,,0
LAL MIRCHI WITH STEM 200G EVR,,0
KHUS KHUS 50G,,0
ZUCCHINI YELLOW ENGLISH ITEM SAMBERRY,,0
BOMBAY RAWA1Kg,,0
MOONG DAL 500G,,0
ZUCCHIINI GREEN ENGLISH ITEM SAMBERRY,vegetables,0
AKSHAYA MULTI FLORAL RAW HOENY 250g,,0
GAJANAN TELANGANA SONA RICE 5Kg,,0
VELLANKI  PESARA MURKULU 250G,,0
JAGGERY KESAR 450G,,0
GINGER GARLIC PASTE 250G VELLANKI FOODS,vegetables,0
RAGI FLOUR 500G,,0
Raw Forest Honey 500g BT,,0
GAJANAN ORANGE PRM HMT RICE 5Kg,fruits,0
DRY COCONUT 250G EVR,fruits,0
FRIED GRAM PUTANA 250g,,0
JUJUBIES FLYBERRY,,0
MANGO PICKLE 250G VELLANKI FOODS,fruits,0
PONAGANTI KURA,,0
CHANA DAL 500g,,0
DISCO PUMPKIN,vegetables,0
NANDA MUFFIN VANILLA 240g,,0
GAJANAN ORANGE PRM HMT RAW RICE 5Kg,fruits,0
DALCHINI 50g,,0
BROWN CHANA 500g,,0
CORIANDER 200g,vegetables,0
JIVIKA RED CHILLI POWDER 200GMS,vegetables,0
PASUPU KOMMULU,,0
